,gene,module,color
A1CF,A1CF,1,turquoise
A2M,A2M,0,grey
A4GALT,A4GALT,0,grey
A4GNT,A4GNT,1,turquoise
AAAS,AAAS,0,grey
AACS,AACS,0,grey
AADAC,AADAC,0,grey
AAGAB,AAGAB,0,grey
AAK1,AAK1,1,turquoise
AAMDC,AAMDC,1,turquoise
AAMP,AAMP,0,grey
AANAT,AANAT,0,grey
AAR2,AAR2,1,turquoise
AARS,AARS,1,turquoise
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,AARSD1 /// PTGES3L /// PTGES3L-AARSD1,1,turquoise
AASDHPPT,AASDHPPT,0,grey
AASS,AASS,0,grey
AATF,AATF,1,turquoise
AATK,AATK,0,grey
ABAT,ABAT,1,turquoise
ABCA1,ABCA1,1,turquoise
ABCA11P,ABCA11P,0,grey
ABCA12,ABCA12,2,blue
ABCA2,ABCA2,0,grey
ABCA3,ABCA3,0,grey
ABCA4,ABCA4,0,grey
ABCA5,ABCA5,1,turquoise
ABCA6,ABCA6,2,blue
ABCA7,ABCA7,0,grey
ABCA8,ABCA8,1,turquoise
ABCB1,ABCB1,2,blue
ABCB1 /// ABCB4,ABCB1 /// ABCB4,2,blue
ABCB11,ABCB11,0,grey
ABCB4,ABCB4,0,grey
ABCB6,ABCB6,0,grey
ABCB7,ABCB7,0,grey
ABCB8,ABCB8,0,grey
ABCB8 /// ASIC3,ABCB8 /// ASIC3,0,grey
ABCB9,ABCB9,0,grey
ABCC1,ABCC1,1,turquoise
ABCC10,ABCC10,0,grey
ABCC2,ABCC2,0,grey
ABCC3,ABCC3,0,grey
ABCC4,ABCC4,1,turquoise
ABCC5,ABCC5,1,turquoise
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,0,grey
ABCC6 /// LOC101930322,ABCC6 /// LOC101930322,0,grey
ABCC8,ABCC8,0,grey
ABCC9,ABCC9,0,grey
ABCD1,ABCD1,0,grey
ABCD1P2 /// ABCD1P2,ABCD1P2 /// ABCD1P2,0,grey
ABCD2,ABCD2,0,grey
ABCD3,ABCD3,1,turquoise
ABCD4,ABCD4,0,grey
ABCE1,ABCE1,1,turquoise
ABCF1,ABCF1,1,turquoise
ABCF2,ABCF2,1,turquoise
ABCF3,ABCF3,1,turquoise
ABCG1,ABCG1,1,turquoise
ABCG2,ABCG2,0,grey
ABCG4,ABCG4,1,turquoise
ABCG5,ABCG5,1,turquoise
ABHD10,ABHD10,1,turquoise
ABHD11,ABHD11,0,grey
ABHD14A-ACY1 /// ACY1,ABHD14A-ACY1 /// ACY1,0,grey
ABHD14A /// ACY1,ABHD14A /// ACY1,0,grey
ABHD17A,ABHD17A,1,turquoise
ABHD17B,ABHD17B,1,turquoise
ABHD2,ABHD2,0,grey
ABHD3,ABHD3,0,grey
ABHD4,ABHD4,0,grey
ABHD5,ABHD5,1,turquoise
ABHD6,ABHD6,0,grey
ABHD8,ABHD8,0,grey
ABI1,ABI1,1,turquoise
ABI2,ABI2,1,turquoise
ABI3BP,ABI3BP,1,turquoise
ABL1,ABL1,0,grey
ABL2,ABL2,1,turquoise
ABLIM1,ABLIM1,1,turquoise
ABLIM3,ABLIM3,1,turquoise
ABO,ABO,0,grey
abParts /// IGKC /// IGKV4-1 /// IGKV4-1,abParts /// IGKC /// IGKV4-1 /// IGKV4-1,7,black
ABR,ABR,1,turquoise
ABT1,ABT1,0,grey
ABTB2,ABTB2,0,grey
AC002310.7 /// ZNF785,AC002310.7 /// ZNF785,0,grey
AC003989.4,AC003989.4,0,grey
AC004490.1 /// AX746733,AC004490.1 /// AX746733,0,grey
AC004692.5,AC004692.5,0,grey
AC004941.5,AC004941.5,0,grey
AC005838.2,AC005838.2,0,grey
AC007292.3,AC007292.3,1,turquoise
AC007389.3,AC007389.3,0,grey
AC007967.3 /// RBMY2TP /// RBMY2TP,AC007967.3 /// RBMY2TP /// RBMY2TP,1,turquoise
AC009237.8 /// AK055967,AC009237.8 /// AK055967,0,grey
AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP,AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP,1,turquoise
AC012065.7,AC012065.7,1,turquoise
AC068039.4,AC068039.4,0,grey
AC074212.6,AC074212.6,0,grey
AC084219.3,AC084219.3,0,grey
AC104537.2 /// TCEB1P28,AC104537.2 /// TCEB1P28,0,grey
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2,AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2,7,black
ACAA1,ACAA1,1,turquoise
ACAA2,ACAA2,1,turquoise
ACACA,ACACA,1,turquoise
ACACB,ACACB,1,turquoise
ACAD10,ACAD10,0,grey
ACAD8,ACAD8,1,turquoise
ACADL,ACADL,0,grey
ACADM,ACADM,1,turquoise
ACADS,ACADS,0,grey
ACADSB,ACADSB,2,blue
ACADVL,ACADVL,1,turquoise
ACAN,ACAN,0,grey
ACAP1,ACAP1,6,red
ACAP2,ACAP2,0,grey
ACAT1,ACAT1,1,turquoise
ACAT2,ACAT2,0,grey
ACBD3,ACBD3,0,grey
ACBD4,ACBD4,1,turquoise
ACD,ACD,1,turquoise
ACE,ACE,0,grey
ACE2,ACE2,1,turquoise
ACHE,ACHE,0,grey
ACIN1,ACIN1,1,turquoise
ACKR1,ACKR1,1,turquoise
ACKR2,ACKR2,0,grey
ACKR3,ACKR3,1,turquoise
ACKR4,ACKR4,0,grey
ACLY,ACLY,1,turquoise
ACN9,ACN9,1,turquoise
ACO1,ACO1,0,grey
ACO2,ACO2,0,grey
ACOT1 /// ACOT2,ACOT1 /// ACOT2,0,grey
ACOT11,ACOT11,1,turquoise
ACOT13,ACOT13,1,turquoise
ACOT7,ACOT7,1,turquoise
ACOT8,ACOT8,0,grey
ACOT9,ACOT9,1,turquoise
ACOX1,ACOX1,1,turquoise
ACOX2,ACOX2,1,turquoise
ACOX3,ACOX3,1,turquoise
ACOXL,ACOXL,0,grey
ACP1,ACP1,1,turquoise
ACP2,ACP2,1,turquoise
ACP5,ACP5,2,blue
ACP6,ACP6,1,turquoise
ACPP,ACPP,1,turquoise
ACR,ACR,0,grey
ACRV1,ACRV1,0,grey
ACSBG1,ACSBG1,0,grey
ACSBG2,ACSBG2,0,grey
ACSF2,ACSF2,1,turquoise
ACSL1,ACSL1,0,grey
ACSL3,ACSL3,1,turquoise
ACSL4,ACSL4,1,turquoise
ACSL5,ACSL5,1,turquoise
ACSL6,ACSL6,0,grey
ACSM1,ACSM1,0,grey
ACSM2A /// ACSM2B,ACSM2A /// ACSM2B,0,grey
ACSM3,ACSM3,5,green
ACSM5,ACSM5,0,grey
ACSS3,ACSS3,2,blue
ACTA1,ACTA1,0,grey
ACTA2,ACTA2,2,blue
ACTB,ACTB,0,grey
ACTB /// ACTG1,ACTB /// ACTG1,0,grey
ACTBP9 /// ACTBP9,ACTBP9 /// ACTBP9,0,grey
ACTC1,ACTC1,2,blue
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,2,blue
ACTG2,ACTG2,2,blue
ACTL6A,ACTL6A,1,turquoise
ACTL6B,ACTL6B,0,grey
ACTL7A,ACTL7A,0,grey
ACTL7B,ACTL7B,0,grey
ACTL8,ACTL8,0,grey
ACTN1,ACTN1,1,turquoise
ACTN2,ACTN2,0,grey
ACTN3,ACTN3,1,turquoise
ACTN4,ACTN4,0,grey
ACTR10,ACTR10,0,grey
ACTR1A,ACTR1A,1,turquoise
ACTR1B,ACTR1B,0,grey
ACTR2,ACTR2,0,grey
ACTR3,ACTR3,0,grey
ACTR3B,ACTR3B,1,turquoise
ACTR3P2 /// ACTR3P2,ACTR3P2 /// ACTR3P2,0,grey
ACTR5,ACTR5,1,turquoise
ACTR6,ACTR6,0,grey
ACTR8,ACTR8,1,turquoise
ACVR1,ACVR1,1,turquoise
ACVR1B,ACVR1B,0,grey
ACVR2A,ACVR2A,2,blue
ACVR2B,ACVR2B,0,grey
ACVR2B-AS1,ACVR2B-AS1,0,grey
ACVRL1,ACVRL1,1,turquoise
ACYP1,ACYP1,1,turquoise
ACYP2 /// LOC101927144,ACYP2 /// LOC101927144,1,turquoise
ADA,ADA,1,turquoise
ADAM10,ADAM10,1,turquoise
ADAM11,ADAM11,0,grey
ADAM12,ADAM12,1,turquoise
ADAM15,ADAM15,0,grey
ADAM17,ADAM17,1,turquoise
ADAM18,ADAM18,0,grey
ADAM19,ADAM19,0,grey
ADAM2,ADAM2,0,grey
ADAM20,ADAM20,0,grey
ADAM21,ADAM21,0,grey
ADAM22,ADAM22,0,grey
ADAM23,ADAM23,1,turquoise
ADAM28,ADAM28,0,grey
ADAM29 /// LOC101928551,ADAM29 /// LOC101928551,0,grey
ADAM30,ADAM30,0,grey
ADAM3A,ADAM3A,0,grey
ADAM3B /// ADAM3B,ADAM3B /// ADAM3B,0,grey
ADAM5,ADAM5,0,grey
ADAM7,ADAM7,0,grey
ADAM8,ADAM8,1,turquoise
ADAM9,ADAM9,0,grey
ADAMDEC1,ADAMDEC1,3,brown
ADAMTS1,ADAMTS1,9,magenta
ADAMTS12,ADAMTS12,2,blue
ADAMTS13,ADAMTS13,0,grey
ADAMTS2,ADAMTS2,2,blue
ADAMTS20,ADAMTS20,0,grey
ADAMTS3,ADAMTS3,0,grey
ADAMTS5,ADAMTS5,2,blue
ADAMTS6,ADAMTS6,0,grey
ADAMTS7,ADAMTS7,0,grey
ADAMTS8,ADAMTS8,2,blue
ADAMTS9,ADAMTS9,0,grey
ADAMTSL2,ADAMTSL2,0,grey
ADAMTSL3,ADAMTSL3,1,turquoise
ADAMTSL4,ADAMTSL4,1,turquoise
ADAP1,ADAP1,0,grey
ADAP2,ADAP2,1,turquoise
ADAR,ADAR,1,turquoise
ADARB1,ADARB1,1,turquoise
ADARB2,ADARB2,0,grey
ADAT1,ADAT1,1,turquoise
ADCK2,ADCK2,0,grey
ADCK3,ADCK3,0,grey
ADCK4,ADCK4,0,grey
ADCY1,ADCY1,0,grey
ADCY10,ADCY10,0,grey
ADCY2,ADCY2,0,grey
ADCY3,ADCY3,1,turquoise
ADCY6,ADCY6,1,turquoise
ADCY7,ADCY7,0,grey
ADCY8,ADCY8,0,grey
ADCY9,ADCY9,0,grey
ADCYAP1,ADCYAP1,0,grey
ADCYAP1R1,ADCYAP1R1,0,grey
ADD1,ADD1,1,turquoise
ADD2,ADD2,0,grey
ADD3,ADD3,0,grey
ADD3-AS1,ADD3-AS1,2,blue
ADGB,ADGB,0,grey
ADH1A,ADH1A,0,grey
ADH1B,ADH1B,1,turquoise
ADH1C,ADH1C,0,grey
ADH5,ADH5,0,grey
ADH6,ADH6,1,turquoise
ADH7,ADH7,1,turquoise
ADI1,ADI1,0,grey
ADIPOQ,ADIPOQ,0,grey
ADIPOR1,ADIPOR1,1,turquoise
ADIPOR2,ADIPOR2,1,turquoise
ADIRF,ADIRF,1,turquoise
ADK,ADK,1,turquoise
ADM,ADM,0,grey
ADM2,ADM2,0,grey
ADNP,ADNP,0,grey
ADNP2,ADNP2,0,grey
ADO,ADO,1,turquoise
ADORA1,ADORA1,0,grey
ADORA2A /// SPECC1L-ADORA2A,ADORA2A /// SPECC1L-ADORA2A,0,grey
ADORA2B,ADORA2B,1,turquoise
ADORA3,ADORA3,0,grey
ADPGK,ADPGK,1,turquoise
ADPRH,ADPRH,0,grey
ADPRM,ADPRM,0,grey
ADRA1A,ADRA1A,0,grey
ADRA1B,ADRA1B,0,grey
ADRA1D,ADRA1D,1,turquoise
ADRA2A,ADRA2A,0,grey
ADRA2B,ADRA2B,0,grey
ADRA2C,ADRA2C,0,grey
ADRB1,ADRB1,0,grey
ADRB2,ADRB2,0,grey
ADRB3,ADRB3,0,grey
ADRBK1,ADRBK1,0,grey
ADRBK2,ADRBK2,0,grey
ADRM1,ADRM1,1,turquoise
ADSL,ADSL,1,turquoise
ADSS,ADSS,1,turquoise
ADTRP,ADTRP,0,grey
AEBP1,AEBP1,8,pink
AEN,AEN,1,turquoise
AES,AES,1,turquoise
AF007147,AF007147,1,turquoise
AF070581,AF070581,0,grey
AF090939,AF090939,1,turquoise
AF198444,AF198444,0,grey
AFAP1,AFAP1,0,grey
AFF1,AFF1,1,turquoise
AFF2,AFF2,0,grey
AFF3,AFF3,2,blue
AFF4,AFF4,1,turquoise
AFG3L2,AFG3L2,0,grey
AFM,AFM,0,grey
AFP,AFP,0,grey
AFTPH,AFTPH,1,turquoise
AGA,AGA,1,turquoise
AGAP1,AGAP1,0,grey
AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581,AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581,0,grey
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581,AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581,0,grey
AGAP2,AGAP2,0,grey
AGBL2,AGBL2,0,grey
AGBL3,AGBL3,0,grey
AGBL5,AGBL5,0,grey
AGER,AGER,0,grey
AGFG1,AGFG1,0,grey
AGFG2,AGFG2,1,turquoise
AGGF1,AGGF1,0,grey
AGK,AGK,1,turquoise
AGL,AGL,0,grey
AGMAT,AGMAT,1,turquoise
AGO1,AGO1,1,turquoise
AGO2 /// CASC7 /// CASC7 /// DQ574852,AGO2 /// CASC7 /// CASC7 /// DQ574852,1,turquoise
AGO3,AGO3,0,grey
AGO4,AGO4,1,turquoise
AGPAT1,AGPAT1,0,grey
AGPAT2,AGPAT2,1,turquoise
AGPAT3,AGPAT3,0,grey
AGPAT4,AGPAT4,0,grey
AGPAT5,AGPAT5,1,turquoise
AGPS,AGPS,0,grey
AGR2,AGR2,12,tan
AGRN,AGRN,1,turquoise
AGRP,AGRP,0,grey
AGT,AGT,0,grey
AGTPBP1,AGTPBP1,0,grey
AGTR1,AGTR1,2,blue
AGTR2,AGTR2,0,grey
AGXT,AGXT,0,grey
AHCTF1,AHCTF1,1,turquoise
AHCY,AHCY,0,grey
AHCYL1,AHCYL1,1,turquoise
AHCYL2,AHCYL2,1,turquoise
AHDC1,AHDC1,1,turquoise
AHI1,AHI1,0,grey
AHNAK,AHNAK,1,turquoise
AHNAK2,AHNAK2,0,grey
AHR,AHR,1,turquoise
AHSA1,AHSA1,1,turquoise
AHSA2,AHSA2,0,grey
AHSG,AHSG,1,turquoise
AHSP,AHSP,0,grey
AICDA,AICDA,6,red
AIDA,AIDA,0,grey
AIF1,AIF1,0,grey
AIFM1,AIFM1,13,salmon
AIM1,AIM1,1,turquoise
AIM1L,AIM1L,1,turquoise
AIM2,AIM2,1,turquoise
AIMP1,AIMP1,0,grey
AIMP2,AIMP2,1,turquoise
AIP,AIP,1,turquoise
AIPL1,AIPL1,0,grey
AIRE,AIRE,0,grey
AJ011981 /// DPY19L1,AJ011981 /// DPY19L1,0,grey
AJAP1,AJAP1,0,grey
AK021537,AK021537,0,grey
AK021933,AK021933,0,grey
AK022030 /// TROVE2,AK022030 /// TROVE2,0,grey
AK055981,AK055981,1,turquoise
AK055981 /// RP11-617F23.1,AK055981 /// RP11-617F23.1,1,turquoise
AK096803 /// RP11-395B7.2,AK096803 /// RP11-395B7.2,0,grey
AK1,AK1,0,grey
AK125860 /// RP11-582J16.4,AK125860 /// RP11-582J16.4,0,grey
AK2,AK2,1,turquoise
AK291611 /// TRGV7 /// TRGV7,AK291611 /// TRGV7 /// TRGV7,0,grey
AK4 /// LOC100507855,AK4 /// LOC100507855,1,turquoise
AK5,AK5,0,grey
AK6,AK6,0,grey
AK6 /// TAF9,AK6 /// TAF9,0,grey
AKAP1,AKAP1,0,grey
AKAP10,AKAP10,0,grey
AKAP11,AKAP11,0,grey
AKAP12,AKAP12,2,blue
AKAP13,AKAP13,1,turquoise
AKAP17A,AKAP17A,0,grey
AKAP2 /// PALM2-AKAP2,AKAP2 /// PALM2-AKAP2,0,grey
AKAP3,AKAP3,0,grey
AKAP4,AKAP4,0,grey
AKAP5,AKAP5,0,grey
AKAP6,AKAP6,1,turquoise
AKAP7,AKAP7,1,turquoise
AKAP8,AKAP8,1,turquoise
AKAP8L,AKAP8L,0,grey
AKAP9,AKAP9,1,turquoise
AKIP1,AKIP1,0,grey
AKIP1 /// NUAK2,AKIP1 /// NUAK2,9,magenta
AKIRIN1,AKIRIN1,0,grey
AKR1A1,AKR1A1,1,turquoise
AKR1B1,AKR1B1,1,turquoise
AKR1B10,AKR1B10,0,grey
AKR1C1,AKR1C1,1,turquoise
AKR1C2 /// LOC101930400,AKR1C2 /// LOC101930400,1,turquoise
AKR1C3,AKR1C3,1,turquoise
AKR1C4,AKR1C4,0,grey
AKR1D1,AKR1D1,0,grey
AKR7A2,AKR7A2,1,turquoise
AKR7A3,AKR7A3,5,green
AKT1,AKT1,1,turquoise
AKT2,AKT2,0,grey
AKT3,AKT3,0,grey
AKTIP,AKTIP,1,turquoise
AL109706,AL109706,0,grey
AL590762.11,AL590762.11,1,turquoise
AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH,AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH,6,red
ALAD,ALAD,1,turquoise
ALAS1,ALAS1,1,turquoise
ALAS2,ALAS2,0,grey
ALB,ALB,0,grey
ALCAM,ALCAM,1,turquoise
ALDH18A1,ALDH18A1,0,grey
ALDH1A1,ALDH1A1,0,grey
ALDH1A2,ALDH1A2,0,grey
ALDH1A2 /// LOC101928635,ALDH1A2 /// LOC101928635,2,blue
ALDH1A3,ALDH1A3,1,turquoise
ALDH1B1,ALDH1B1,0,grey
ALDH1L1,ALDH1L1,0,grey
ALDH2,ALDH2,1,turquoise
ALDH3A1,ALDH3A1,1,turquoise
ALDH3A2,ALDH3A2,1,turquoise
ALDH3B1,ALDH3B1,1,turquoise
ALDH3B2,ALDH3B2,1,turquoise
ALDH4A1,ALDH4A1,1,turquoise
ALDH5A1,ALDH5A1,0,grey
ALDH6A1,ALDH6A1,1,turquoise
ALDH7A1,ALDH7A1,1,turquoise
ALDH8A1,ALDH8A1,0,grey
ALDH9A1,ALDH9A1,1,turquoise
ALDOA,ALDOA,0,grey
ALDOAP2,ALDOAP2,0,grey
ALDOB,ALDOB,5,green
ALDOC,ALDOC,0,grey
ALG11 /// UTP14A /// UTP14C,ALG11 /// UTP14A /// UTP14C,13,salmon
ALG11 /// UTP14C,ALG11 /// UTP14C,1,turquoise
ALG12,ALG12,0,grey
ALG13,ALG13,0,grey
ALG3,ALG3,1,turquoise
ALG5,ALG5,0,grey
ALG6,ALG6,0,grey
ALG8,ALG8,11,greenyellow
ALG9,ALG9,1,turquoise
ALK,ALK,1,turquoise
ALKBH1,ALKBH1,1,turquoise
ALKBH4,ALKBH4,1,turquoise
ALLC,ALLC,0,grey
ALMS1,ALMS1,1,turquoise
ALOX12,ALOX12,1,turquoise
ALOX12B,ALOX12B,0,grey
ALOX12P2,ALOX12P2,1,turquoise
ALOX15,ALOX15,0,grey
ALOX15B,ALOX15B,1,turquoise
ALOX5,ALOX5,0,grey
ALOX5AP,ALOX5AP,0,grey
ALOXE3,ALOXE3,0,grey
ALPI,ALPI,0,grey
ALPK1,ALPK1,0,grey
ALPK3,ALPK3,0,grey
ALPL,ALPL,0,grey
ALPP,ALPP,0,grey
ALPP /// ALPPL2,ALPP /// ALPPL2,0,grey
ALPPL2,ALPPL2,0,grey
ALS2CL,ALS2CL,1,turquoise
ALX1,ALX1,0,grey
ALX3,ALX3,0,grey
ALX4,ALX4,0,grey
AMACR,AMACR,1,turquoise
AMACR /// C1QTNF3-AMACR,AMACR /// C1QTNF3-AMACR,1,turquoise
AMBN,AMBN,0,grey
AMBP,AMBP,0,grey
AMBRA1,AMBRA1,0,grey
AMD1,AMD1,0,grey
AMDHD2 /// CEMP1,AMDHD2 /// CEMP1,0,grey
AMELX,AMELX,0,grey
AMELY,AMELY,0,grey
AMFR,AMFR,1,turquoise
AMH /// MIR4321,AMH /// MIR4321,0,grey
AMHR2,AMHR2,0,grey
AMIGO2,AMIGO2,1,turquoise
AMIGO3 /// GMPPB,AMIGO3 /// GMPPB,1,turquoise
AMMECR1,AMMECR1,0,grey
AMN,AMN,0,grey
AMOT,AMOT,0,grey
AMOTL2,AMOTL2,1,turquoise
AMPD1,AMPD1,0,grey
AMPD2,AMPD2,1,turquoise
AMPD3,AMPD3,0,grey
AMPD3 /// CAND1.11,AMPD3 /// CAND1.11,0,grey
AMPH,AMPH,0,grey
AMT,AMT,1,turquoise
AMZ2,AMZ2,1,turquoise
ANAPC1 /// LOC730268,ANAPC1 /// LOC730268,1,turquoise
ANAPC10,ANAPC10,0,grey
ANAPC13,ANAPC13,1,turquoise
ANAPC15,ANAPC15,0,grey
ANAPC2,ANAPC2,0,grey
ANAPC5,ANAPC5,1,turquoise
ANG,ANG,2,blue
ANGEL1,ANGEL1,1,turquoise
ANGEL2,ANGEL2,1,turquoise
ANGPT1,ANGPT1,0,grey
ANGPT2,ANGPT2,2,blue
ANGPT4,ANGPT4,0,grey
ANGPTL2,ANGPTL2,8,pink
ANGPTL3,ANGPTL3,0,grey
ANGPTL4,ANGPTL4,0,grey
ANGPTL7,ANGPTL7,1,turquoise
ANK1,ANK1,0,grey
ANK2,ANK2,1,turquoise
ANK3,ANK3,1,turquoise
ANKEF1,ANKEF1,0,grey
ANKFY1,ANKFY1,0,grey
ANKH,ANKH,0,grey
ANKHD1 /// ANKHD1-EIF4EBP3,ANKHD1 /// ANKHD1-EIF4EBP3,0,grey
ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3,ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3,1,turquoise
ANKLE2,ANKLE2,1,turquoise
ANKMY1,ANKMY1,0,grey
ANKMY2,ANKMY2,0,grey
ANKRA2,ANKRA2,0,grey
ANKRD1,ANKRD1,0,grey
ANKRD10,ANKRD10,0,grey
ANKRD10-IT1,ANKRD10-IT1,0,grey
ANKRD11,ANKRD11,0,grey
ANKRD12,ANKRD12,1,turquoise
ANKRD17,ANKRD17,0,grey
ANKRD2,ANKRD2,0,grey
ANKRD26,ANKRD26,0,grey
ANKRD27,ANKRD27,0,grey
ANKRD28,ANKRD28,0,grey
ANKRD34C,ANKRD34C,0,grey
ANKRD36,ANKRD36,1,turquoise
ANKRD36B,ANKRD36B,0,grey
ANKRD36BP2,ANKRD36BP2,0,grey
ANKRD40,ANKRD40,0,grey
ANKRD46,ANKRD46,10,purple
ANKRD49,ANKRD49,11,greenyellow
ANKRD53,ANKRD53,0,grey
ANKRD55,ANKRD55,0,grey
ANKRD6,ANKRD6,0,grey
ANKRD7,ANKRD7,0,grey
ANKS1A,ANKS1A,2,blue
ANKS1B,ANKS1B,1,turquoise
ANKZF1,ANKZF1,0,grey
ANO1,ANO1,1,turquoise
ANO10,ANO10,1,turquoise
ANO2,ANO2,0,grey
ANO3,ANO3,0,grey
ANP32A,ANP32A,0,grey
ANP32A-IT1,ANP32A-IT1,0,grey
ANP32B,ANP32B,1,turquoise
ANP32C,ANP32C,0,grey
ANP32D,ANP32D,0,grey
ANP32E,ANP32E,1,turquoise
ANPEP,ANPEP,3,brown
ANTXR1,ANTXR1,8,pink
ANXA1,ANXA1,1,turquoise
ANXA10,ANXA10,5,green
ANXA11,ANXA11,1,turquoise
ANXA13,ANXA13,0,grey
ANXA2,ANXA2,1,turquoise
ANXA2 /// NHP2L1,ANXA2 /// NHP2L1,1,turquoise
ANXA2P1,ANXA2P1,1,turquoise
ANXA2P2,ANXA2P2,1,turquoise
ANXA2P3,ANXA2P3,1,turquoise
ANXA3,ANXA3,1,turquoise
ANXA4,ANXA4,0,grey
ANXA5,ANXA5,1,turquoise
ANXA6,ANXA6,0,grey
ANXA7,ANXA7,0,grey
ANXA8 /// ANXA8L1,ANXA8 /// ANXA8L1,1,turquoise
ANXA9,ANXA9,1,turquoise
AOAH,AOAH,0,grey
AOC1,AOC1,0,grey
AOC2,AOC2,0,grey
AOC3,AOC3,2,blue
AOC4P,AOC4P,0,grey
AOX1,AOX1,2,blue
AP001062.7 /// C21orf2,AP001062.7 /// C21orf2,0,grey
AP1AR,AP1AR,0,grey
AP1B1,AP1B1,1,turquoise
AP1G1,AP1G1,0,grey
AP1G2,AP1G2,1,turquoise
AP1M2,AP1M2,0,grey
AP1S1,AP1S1,1,turquoise
AP1S2,AP1S2,0,grey
AP2A2,AP2A2,0,grey
AP2B1,AP2B1,1,turquoise
AP2M1,AP2M1,1,turquoise
AP2S1,AP2S1,0,grey
AP3B1,AP3B1,1,turquoise
AP3B2,AP3B2,0,grey
AP3D1,AP3D1,0,grey
AP3M2,AP3M2,1,turquoise
AP3S1,AP3S1,1,turquoise
AP3S2 /// C15orf38-AP3S2,AP3S2 /// C15orf38-AP3S2,0,grey
AP4E1,AP4E1,0,grey
AP4M1,AP4M1,0,grey
AP4S1,AP4S1,1,turquoise
AP5M1,AP5M1,0,grey
AP5S1,AP5S1,2,blue
AP5Z1 /// MIR4656,AP5Z1 /// MIR4656,1,turquoise
APAF1,APAF1,0,grey
APBA1,APBA1,0,grey
APBA2,APBA2,0,grey
APBA3,APBA3,1,turquoise
APBB1,APBB1,0,grey
APBB1IP,APBB1IP,0,grey
APBB2,APBB2,1,turquoise
APBB3 /// MIR6831,APBB3 /// MIR6831,0,grey
APC,APC,0,grey
APC2,APC2,0,grey
APCS,APCS,0,grey
APEH,APEH,1,turquoise
APEX1,APEX1,1,turquoise
APEX2,APEX2,1,turquoise
APH1A,APH1A,0,grey
APH1B,APH1B,1,turquoise
API5,API5,0,grey
APIP,APIP,1,turquoise
APITD1 /// APITD1-CORT,APITD1 /// APITD1-CORT,1,turquoise
APLNR,APLNR,0,grey
APLP1,APLP1,0,grey
APLP2,APLP2,0,grey
APMAP,APMAP,1,turquoise
APOA1,APOA1,1,turquoise
APOA2,APOA2,0,grey
APOA4,APOA4,0,grey
APOB,APOB,1,turquoise
APOBEC1,APOBEC1,0,grey
APOBEC2,APOBEC2,5,green
APOBEC3A /// APOBEC3A_B,APOBEC3A /// APOBEC3A_B,0,grey
APOBEC3B,APOBEC3B,1,turquoise
APOBEC3C,APOBEC3C,0,grey
APOBEC3F,APOBEC3F,0,grey
APOBEC3F /// APOBEC3G,APOBEC3F /// APOBEC3G,0,grey
APOBEC3G,APOBEC3G,1,turquoise
APOBR,APOBR,3,brown
APOC1,APOC1,1,turquoise
APOC2 /// APOC4 /// APOC4-APOC2,APOC2 /// APOC4 /// APOC4-APOC2,3,brown
APOC3,APOC3,0,grey
APOD,APOD,2,blue
APOE,APOE,1,turquoise
APOF,APOF,0,grey
APOH,APOH,0,grey
APOL1,APOL1,1,turquoise
APOL2,APOL2,1,turquoise
APOL3,APOL3,0,grey
APOL5,APOL5,1,turquoise
APOL6,APOL6,0,grey
APOLD1,APOLD1,1,turquoise
APOLD1 /// DDX47,APOLD1 /// DDX47,1,turquoise
APOM,APOM,1,turquoise
APOO,APOO,1,turquoise
APOOL,APOOL,1,turquoise
APP,APP,1,turquoise
APPBP2,APPBP2,1,turquoise
APPL1,APPL1,1,turquoise
APPL2,APPL2,0,grey
APRT,APRT,0,grey
APTX,APTX,1,turquoise
AQP1,AQP1,1,turquoise
AQP2,AQP2,0,grey
